[Sensor_ID],[loc_x],[loc_y],[loc_z],[n_x],[n_y],[n_z]
FB08_S1R,-0.63978442,0.68608482,-0.15645621,-0.078386895,0.084059656,-0.99337280
FB08_S2R,-0.72111157,0.77329752,-0.077077734,-0.59474978,0.63779108,-0.48938248
FB08_S3R,-0.72111157,0.77329752,0.077077734,-0.59474978,0.63779108,0.48938248
FB08_S4R,-0.63978442,0.68608482,0.15645621,-0.078386895,0.084059656,0.99337280
FB09_S1R,-0.92086701,0.17899844,-0.15645621,-0.11282536,0.021931030,-0.99337280
FB09_S2R,-1.0379244,0.20175209,-0.077077734,-0.85604687,0.16639868,-0.48938248
FB09_S3R,-1.0379244,0.20175209,0.077077734,-0.85604687,0.16639868,0.48938248
FB09_S4R,-0.92086701,0.17899844,0.15645621,-0.11282536,0.021931030,0.99337280
FB10_S1R,-0.85020970,-0.39645927,-0.15645621,-0.10416837,-0.048574504,-0.99337280
FB10_S2R,-0.95828538,-0.44685578,-0.077077734,-0.79036315,-0.36855236,-0.48938248
FB10_S3R,-0.95828538,-0.44685578,0.077077734,-0.79036315,-0.36855236,0.48938248
FB10_S4R,-0.85020970,-0.39645927,0.15645621,-0.10416837,-0.048574504,0.99337280
PA1_S01P,0.55020193,-0.50416722,-0.015971066,0.074762491,-0.068507207,-0.99484538
PA1_S02P,0.55494835,-0.50851652,-0.047234263,0.22110945,-0.20260950,-0.95397065
PA1_S03P,0.56424453,-0.51703490,-0.076557472,0.35837509,-0.32839030,-0.87391481
PA1_S04P,0.57770866,-0.52937250,-0.10273635,0.48092171,-0.44068359,-0.75796589
PA1_S05P,0.59478774,-0.54502259,-0.12469567,0.58371608,-0.53487728,-0.61088611
PA1_S06P,0.61478030,-0.56334241,-0.14153354,0.66253629,-0.60710271,-0.43871626
PA1_S07P,0.63686524,-0.58357952,-0.15255841,0.71414510,-0.65439348,-0.24852757
PA1_S08P,0.66003645,-0.60481203,-0.15750000,0.73727731,-0.67559024,0.0000000
PA1_S09P,0.68388665,-0.62666671,-0.15731730,0.73642205,-0.67480654,0.048152491
PA1_S10P,0.70715680,-0.64798988,-0.15255759,0.71414124,-0.65438994,0.24854793
PA1_S11P,0.72924156,-0.66822683,-0.14153209,0.66252955,-0.60709653,0.43873510
PA1_S12P,0.74923387,-0.68654641,-0.12469364,0.58370662,-0.53486862,0.61090273
PA1_S13P,0.76631260,-0.70219619,-0.10273383,0.48090999,-0.44067286,0.75797957
PA1_S14P,0.77977632,-0.71453341,-0.076554576,0.35836164,-0.32837797,0.87392497
PA1_S15P,0.78907205,-0.72305138,-0.047231094,0.22109470,-0.20259598,0.95397693
PA1_S16P,0.79381799,-0.72740023,-0.015967765,0.074747117,-0.068493119,0.99484754
PA1_S17P,0.79381922,-0.72740136,0.015951386,-0.074670449,0.068422866,0.99485809
PA1_S18P,0.78907569,-0.72305471,0.047215388,-0.22102118,0.20252861,0.95400822
PA1_S19P,0.77978222,-0.71453882,0.076540179,-0.35829423,0.32831620,0.87397581
PA1_S20P,0.76632052,-0.70220345,0.10272134,-0.48085154,0.44061930,0.75804782
PA1_S21P,0.74924347,-0.68655521,0.12468359,-0.58365956,0.53482549,0.61098540
PA1_S22P,0.72925248,-0.66823684,0.14152486,-0.66249571,0.60706552,0.43882903
PA1_S23P,0.70716856,-0.64800065,0.15255349,-0.71412208,0.65437238,0.24864918
PA1_S24P,0.68389879,-0.62667783,0.15731650,-0.73641836,0.67480315,0.048256915
PA1_S25P,0.66003645,-0.60481203,0.15750000,-0.73727731,0.67559024,0.0000000
PA1_S26P,0.63686524,-0.58357952,0.15255841,-0.71414510,0.65439348,-0.24852757
